ARTRONIQ:3,Ask,0.29,4392671;3,Bid,0.27,2406317;8,Ask,0.3,2362895;8,Bid,0.28,4456399
JTIASA:4,Ask,1.44,461647;4,Bid,1.33,837071;7,Ask,1.47,439731;7,Bid,1.36,813698
KLK:4,Ask,23.26,47570;4,Bid,21.45,14192;7,Ask,23.71,32734;7,Bid,21.9,28946
KPJ:2,Ask,1.94,2192886;2,Bid,1.79,106858;9,Ask,1.97,1270487;9,Bid,1.82,1167430
LAYHONG:1,Ask,0.43,1649624;1,Bid,0.4,1961053;10,Ask,0.42,3370458;10,Bid,0.39,1671065
MAHSING:4,Ask,1.27,721484;4,Bid,1.17,1027193;7,Ask,1.29,909998;7,Bid,1.19,665812
MAXIS:1,Ask,3.59,264941;1,Bid,3.32,277010;10,Ask,3.52,480258;10,Bid,3.25,447832
MISC:1,Ask,7.89,182204;1,Bid,7.28,267061;10,Ask,8.04,200197;10,Bid,7.43,253096
MRCB:2,Ask,0.69,3199394;2,Bid,0.64,1956517;9,Ask,0.68,3198822;9,Bid,0.63,5015275
MRDIY:5,Ask,1.56,161227;5,Bid,1.45,208529;6,Ask,1.53,255626;6,Bid,1.42,236010
MTEC:5,Ask,1.12,746609;5,Bid,1.04,726517;6,Ask,1.1,466392;6,Bid,1.02,1155724
MUHIBAH:3,Ask,0.95,1029512;3,Bid,0.87,141297;8,Ask,0.97,659275;8,Bid,0.89,347150
MYEG:2,Ask,0.82,1177920;2,Bid,0.76,540949;9,Ask,0.81,273845;9,Bid,0.75,6394950
NAIM:2,Ask,0.92,1301764;2,Bid,0.85,1573664;9,Ask,0.91,1554131;9,Bid,0.84,368880
NCT:4,Ask,0.47,2013714;4,Bid,0.44,927876;7,Ask,0.46,353464;7,Bid,0.43,460454
NESTLE:4,Ask,124.01,7645;4,Bid,114.56,4221;7,Ask,121.64,6439;7,Bid,112.2,3353
PANDA:5,Ask,0.3,2445315;5,Bid,0.28,309767;6,Ask,0.31,1648062;6,Bid,0.29,1687866
PCHEM:1,Ask,6.95,198481;1,Bid,6.41,183965;10,Ask,7.09,50948;10,Bid,6.55,103072
PECCA:2,Ask,1.4,363728;2,Bid,1.29,530357;9,Ask,1.43,445886;9,Bid,1.32,139102
PERDANA:5,Ask,0.33,6063041;5,Bid,0.3,5754202;6,Ask,0.34,2821891;6,Bid,0.31,1492001
PERTAMA:4,Ask,2.63,524477;4,Bid,2.43,696571;7,Ask,2.58,342175;7,Bid,2.38,193604
PETDAG:1,Ask,22.45,37612;1,Bid,20.71,22657;10,Ask,22.89,11690;10,Bid,21.15,3702
PETGAS:2,Ask,19.17,17602;2,Bid,17.71,40850;9,Ask,18.81,23352;9,Bid,17.35,46197
PLINTAS:2,Ask,1.02,171211;2,Bid,0.95,200468;9,Ask,1,565413;9,Bid,0.93,227653
PMETAL:1,Ask,4.92,126262;1,Bid,4.55,303;10,Ask,4.83,101644;10,Bid,4.46,106929
PPB:1,Ask,16.32,109658;1,Bid,15.05,202481;10,Ask,16.63,18758;10,Bid,15.36,52695
RCECAP:3,Ask,2.77,203764;3,Bid,2.56,363373;8,Ask,2.82,252101;8,Bid,2.61,124145
SCGBHD:2,Ask,0.56,1356047;2,Bid,0.51,277944;9,Ask,0.57,1285133;9,Bid,0.52,18477
SCOMNET:2,Ask,1.32,63225;2,Bid,1.22,464983;9,Ask,1.34,359592;9,Bid,1.24,598167
SENDAI:1,Ask,0.3,6942140;1,Bid,0.28,3278759;10,Ask,0.29,6154441;10,Bid,0.27,2045095
SHANG:2,Ask,2.14,502111;2,Bid,1.98,224584;9,Ask,2.1,34028;9,Bid,1.94,126741
SIGN:2,Ask,1.09,545531;2,Bid,1.01,935670;9,Ask,1.07,827808;9,Bid,0.99,478580
SIME:5,Ask,2.67,2042526;5,Bid,2.46,2022801;6,Ask,2.72,1318432;6,Bid,2.51,1822336
SIMEPROP:2,Ask,0.96,2028624;2,Bid,0.88,5661395;9,Ask,0.98,7074685;9,Bid,0.9,4481850
SKPRES:3,Ask,0.95,519380;3,Bid,0.87,119154;8,Ask,0.93,1110274;8,Bid,0.86,1032236
SPSETIA:5,Ask,1.54,3621555;5,Bid,1.43,2989686;6,Ask,1.51,2585220;6,Bid,1.4,2866449
SSB8:3,Ask,0.39,332701;3,Bid,0.36,3260136;8,Ask,0.39,3731199;8,Bid,0.36,1199310
SUCCESS:1,Ask,0.86,336746;1,Bid,0.79,150993;10,Ask,0.88,746224;10,Bid,0.81,963372
SUNCON:2,Ask,2.99,135845;2,Bid,2.76,543011;9,Ask,3.05,74672;9,Bid,2.81,453723
SUNWAY:3,Ask,3.57,183786;3,Bid,3.3,1660436;8,Ask,3.64,2189076;8,Bid,3.37,2161856
TANCO:4,Ask,0.87,1792560;4,Bid,0.8,2070180;7,Ask,0.89,2835745;7,Bid,0.82,3514646
TENAGA:3,Ask,11.95,100160;3,Bid,11.04,202635;8,Ask,11.72,411385;8,Bid,10.81,45938
TIMECOM:1,Ask,5.43,253761;1,Bid,5.01,353758;10,Ask,5.33,270838;10,Bid,4.91,566068
TM:4,Ask,6.29,473025;4,Bid,5.81,538378;7,Ask,6.17,470690;7,Bid,5.69,222891
TOPGLOV:3,Ask,0.82,1921305;3,Bid,0.76,756395;8,Ask,0.84,717478;8,Bid,0.78,379620
UEMS:2,Ask,1.21,2072;2,Bid,1.11,1137522;9,Ask,1.23,307649;9,Bid,1.13,2263932
UNISEM:5,Ask,3.96,231581;5,Bid,3.65,214964;6,Ask,4.03,120146;6,Bid,3.72,57828
UWC:2,Ask,3.02,229041;2,Bid,2.78,459226;9,Ask,3.08,116927;9,Bid,2.84,740596
VELESTO:4,Ask,0.3,5364547;4,Bid,0.28,4488998;7,Ask,0.31,3774530;7,Bid,0.29,5011437
VITROX:2,Ask,8.06,292669;2,Bid,7.45,147600;9,Ask,7.91,158350;9,Bid,7.3,6960
VS:3,Ask,0.92,1050797;3,Bid,0.85,2558388;8,Ask,0.9,607933;8,Bid,0.83,836047
XL:3,Ask,0.8,1124774;3,Bid,0.74,862922;8,Ask,0.78,601143;8,Bid,0.72,596453
YBS:5,Ask,0.84,194984;5,Bid,0.78,614528;6,Ask,0.82,307799;6,Bid,0.76,900678
ZANTAT:1,Ask,0.51,5662835;1,Bid,0.48,1498706;10,Ask,0.5,1088032;10,Bid,0.47,4627582
